sygnatura_czasowa,respondent_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10_koszt,S10_porownanie,S10_brak_info,S10_nieaktualne,S10_kontakt,S11,S12,S13
03.08.2026 18:42,R01,Tak,Wynająłem mieszkanie,Drugi,Otodom;OLX,10–30,2801–3500 zł,Czynszu dla właściciela plus czynsz administracyjny,"Tak, raz lub dwa","Czynsz administracyjny, którego nie zauważyłem",4,3,4,5,3,zeby od razu bylo widac ile placi sie w sumie a nie ta cena z kosmosu,25–34,"Nie, dziękuję"
03.08.2026 19:05,R02,Tak,Wciąż szukam,Trzeci lub kolejny,Otodom;OLX;Grupy na Facebooku,Ponad 60,3501–4500 zł,Wszystkiego razem z mediami,"Tak, wielokrotnie","Czynsz administracyjny, którego nie zauważyłem;Cena wzrosła między ogłoszeniem a rozmową",3,3,4,5,4,"Weryfikacja ogłoszeń. Połowa to duchy, dzwonisz a mieszkania nie ma od miesiąca.",35–44,"Nie, dziękuję"
03.08.2026 19:11,R03,Tak,Wciąż szukam,Pierwszy w życiu,Otodom;Grupy na Facebooku,10–30,2001–2800 zł,Samego czynszu dla właściciela,"Tak, wielokrotnie","Czynsz administracyjny, którego nie zauważyłem;Kaucja wyższa, niż zakładałem",5,4,4,4,3,"no nie wiem, moze zeby bylo taniej :) a tak serio to zdjecia zeby byly prawdziwe",Do 24,"Tak, wyślij mi szczegóły"
03.08.2026 19:33,R04,Tak,Wynająłem mieszkanie,Trzeci lub kolejny,Otodom;Strona pośrednika / biura nieruchomości,31–60,3501–4500 zł,Wszystkiego razem z mediami,Nie,,3,2,3,4,3,,35–44,"Nie, dziękuję"
03.08.2026 20:01,R05,Tak,"Zrezygnowałem i zostałem tam, gdzie byłem",Pierwszy w życiu,Otodom;OLX,Mniej niż 10,Do 2000 zł,Nie zastanawiałem się nad tym w ten sposób,"Tak, raz lub dwa","Czynsz administracyjny, którego nie zauważyłem",3,3,3,3,2,nic,Do 24,"Tak, wyślij mi szczegóły"
03.08.2026 20:14,R06,Tak,Wynająłem mieszkanie,Drugi,Otodom,31–60,2801–3500 zł,Czynszu dla właściciela plus czynsz administracyjny,"Tak, wielokrotnie","Czynsz administracyjny, którego nie zauważyłem;Media wyższe, niż zakładałem",5,4,4,4,2,"Filtr na cenę powinien liczyć czynsz. Ustawiam 3000 i dostaje oferty za 3800, bez sensu",25–34,"Tak, wyślij mi szczegóły"
03.08.2026 20:47,R07,Tak,Wynająłem mieszkanie,Drugi,Otodom;OLX;Grupy na Facebooku,31–60,2801–3500 zł,Czynszu dla właściciela plus czynsz administracyjny,"Tak, wielokrotnie","Czynsz administracyjny, którego nie zauważyłem;Media wyższe, niż zakładałem;Prowizja pośrednika",4,4,5,5,3,"żeby przy każdej ofercie było napisane ile wynosi czynsz administracyjny, bo teraz raz jest raz nie ma i człowiek nie wie czy nie ma czy po prostu nie podali",25–34,"Tak, wyślij mi szczegóły"
03.08.2026 21:02,R08,Tak,Wciąż szukam,Pierwszy w życiu,"Otodom;Grupy na Facebooku;Znajomi, ogłoszenia w okolicy",10–30,2001–2800 zł,Samego czynszu dla właściciela,"Tak, raz lub dwa",Prowizja pośrednika,4,3,3,4,4,,Do 24,"Nie, dziękuję"
03.08.2026 21:15,R09,Nie,,,,,,,,,,,,,,,,
03.08.2026 21:40,R10,Tak,Wynająłem mieszkanie,Pierwszy w życiu,Otodom,Mniej niż 10,2801–3500 zł,Samego czynszu dla właściciela,"Tak, raz lub dwa","Czynsz administracyjny, którego nie zauważyłem",4,4,4,3,3,cena calkowita,25–34,"Nie, dziękuję"
03.08.2026 22:03,R11,Tak,Wynająłem mieszkanie,Trzeci lub kolejny,"Otodom;Strona pośrednika / biura nieruchomości;Znajomi, ogłoszenia w okolicy",31–60,3501–4500 zł,Wszystkiego razem z mediami,"Tak, raz lub dwa","Media wyższe, niż zakładałem",3,4,5,4,3,Standaryzacja tego co jest w cenie. Każdy ogłoszeniodawca pisze co chce i potem nie da się tego porównać. Ja i tak zawsze dzwonię i pytam o czynsz bo z ogłoszenia się nie dowiem.,25–34,"Tak, wyślij mi szczegóły"
04.08.2026 07:52,R12,Tak,Wciąż szukam,Drugi,Otodom;OLX,Ponad 60,2001–2800 zł,Nie zastanawiałem się nad tym w ten sposób,"Tak, wielokrotnie","Czynsz administracyjny, którego nie zauważyłem;Cena wzrosła między ogłoszeniem a rozmową",4,3,4,5,4,"Zeby nie bylo tylu ofert od biur, chce od wlascicieli",25–34,"Nie, dziękuję"
04.08.2026 08:20,R13,Tak,Wynająłem mieszkanie,Drugi,Otodom;OLX,10–30,2801–3500 zł,Wszystkiego razem z mediami,Nie,,4,3,3,3,2,,25–34,"Nie, dziękuję"
04.08.2026 09:05,R14,Tak,Wynająłem mieszkanie,Trzeci lub kolejny,Otodom;Strona pośrednika / biura nieruchomości,10–30,3501–4500 zł,Wszystkiego razem z mediami,"Tak, wielokrotnie","Prowizja pośrednika;Czynsz administracyjny, którego nie zauważyłem",3,3,4,4,3,wywalić prowizję pośredników!!!! 100% czynszu za wysłanie mi 3 zdjęć to jakiś żart,35–44,"Nie, dziękuję"
04.08.2026 09:31,R15,Tak,Wciąż szukam,Pierwszy w życiu,Otodom;Grupy na Facebooku,10–30,2001–2800 zł,Samego czynszu dla właściciela,"Tak, raz lub dwa","Kaucja wyższa, niż zakładałem",4,4,4,4,3,Jasna informacja o kaucji,Do 24,"Tak, wyślij mi szczegóły"
04.08.2026 10:12,R16,Tak,Wynająłem mieszkanie,Pierwszy w życiu,"OLX;Znajomi, ogłoszenia w okolicy",Nie pamiętam,Do 2000 zł,Nie zastanawiałem się nad tym w ten sposób,Nie pamiętam,,3,2,3,3,3,,Do 24,"Nie, dziękuję"
04.08.2026 10:44,R17,Tak,Wciąż szukam,Trzeci lub kolejny,Otodom;OLX;Grupy na Facebooku,Ponad 60,2801–3500 zł,Wszystkiego razem z mediami,"Tak, wielokrotnie","Czynsz administracyjny, którego nie zauważyłem;Media wyższe, niż zakładałem;Cena wzrosła między ogłoszeniem a rozmową",4,4,5,5,4,,25–34,"Nie, dziękuję"
04.08.2026 11:09,R18,Tak,Wynająłem mieszkanie,Drugi,Otodom;OLX,31–60,2801–3500 zł,Czynszu dla właściciela plus czynsz administracyjny,"Tak, wielokrotnie","Czynsz administracyjny, którego nie zauważyłem",4,3,4,5,3,żeby oferty były aktualne,25–34,"Nie, dziękuję"
04.08.2026 11:38,R19,Tak,Wciąż szukam,Trzeci lub kolejny,Otodom;OLX;Grupy na Facebooku,Ponad 60,2801–3500 zł,Czynszu dla właściciela plus czynsz administracyjny,"Tak, wielokrotnie","Czynsz administracyjny, którego nie zauważyłem;Media wyższe, niż zakładałem;Cena wzrosła między ogłoszeniem a rozmową",5,5,5,5,4,"Dodałabym takie pole obowiązkowe że ile wynosi czynsz do spółdzielni i ile średnio media, żeby nie było że dopiero na oglądaniu się dowiaduję że to 1200 zł ekstra. Bo ja tak miałam dwa razy i za drugim razem już nawet nie poszłam.",25–34,"Tak, wyślij mi szczegóły"
04.08.2026 12:04,R20,Nie,,,,,,,,,,,,,,,,
04.08.2026 12:40,R21,Tak,Wynająłem mieszkanie,Pierwszy w życiu,Otodom;Grupy na Facebooku,10–30,2001–2800 zł,Samego czynszu dla właściciela,"Tak, raz lub dwa","Czynsz administracyjny, którego nie zauważyłem",4,3,3,4,3,,Do 24,"Nie, dziękuję"
03.08.2026 21:55,R22,Tak,Wynająłem mieszkanie,Drugi,Otodom;Strona pośrednika / biura nieruchomości,31–60,3501–4500 zł,Czynszu dla właściciela plus czynsz administracyjny,"Tak, raz lub dwa","Prowizja pośrednika;Czynsz administracyjny, którego nie zauważyłem",4,4,4,3,2,"Rozbicie ceny na składniki na karcie oferty, tak jak w sklepach internetowych pokazuje się cenę z dostawą.",35–44,"Tak, wyślij mi szczegóły"
04.08.2026 13:29,R23,Tak,"Zrezygnowałem i zostałem tam, gdzie byłem",Drugi,Otodom;OLX,31–60,2001–2800 zł,Nie zastanawiałem się nad tym w ten sposób,"Tak, wielokrotnie","Czynsz administracyjny, którego nie zauważyłem;Media wyższe, niż zakładałem",5,4,4,4,4,,25–34,"Nie, dziękuję"
04.08.2026 14:15,R24,Tak,Wciąż szukam,Drugi,Otodom,10–30,2801–3500 zł,Czynszu dla właściciela plus czynsz administracyjny,"Tak, wielokrotnie","Czynsz administracyjny, którego nie zauważyłem",5,4,5,4,3,zeby dalo sie odfiltrowac oferty bez czynszu podanego,25–34,"Tak, wyślij mi szczegóły"
04.08.2026 15:00,R25,Tak,Wynająłem mieszkanie,Trzeci lub kolejny,"Otodom;Znajomi, ogłoszenia w okolicy",Mniej niż 10,3501–4500 zł,Wszystkiego razem z mediami,Nie,,2,2,2,3,2,Nic mi nie przychodzi do glowy,35–44,"Nie, dziękuję"
04.08.2026 15:47,R26,Tak,Wciąż szukam,Trzeci lub kolejny,Otodom;OLX,Ponad 60,2801–3500 zł,Czynszu dla właściciela plus czynsz administracyjny,"Tak, wielokrotnie","Cena wzrosła między ogłoszeniem a rozmową;Czynsz administracyjny, którego nie zauważyłem",3,3,4,5,4,"chciałbym żeby było widać jak długo ogłoszenie wisi, bo jak wisi 3 miesiące to znaczy że coś jest nie tak",25–34,"Nie, dziękuję"
04.08.2026 16:20,R27,Tak,Wynająłem mieszkanie,Pierwszy w życiu,Otodom;Grupy na Facebooku,10–30,2001–2800 zł,Samego czynszu dla właściciela,"Tak, raz lub dwa","Czynsz administracyjny, którego nie zauważyłem;Kaucja wyższa, niż zakładałem",4,4,4,4,3,"Zdjęcia. Serio, zdjęcia z 2015 roku i potem szok",Do 24,"Nie, dziękuję"
04.08.2026 17:02,R28,Tak,Wciąż szukam,Pierwszy w życiu,Otodom;Grupy na Facebooku;OLX,10–30,2001–2800 zł,Samego czynszu dla właściciela,"Tak, wielokrotnie","Czynsz administracyjny, którego nie zauważyłem;Kaucja wyższa, niż zakładałem",5,4,4,4,3,Żeby cena w wyszukiwarce była tą prawdziwą ceną. Tyle.,Do 24,"Tak, wyślij mi szczegóły"
04.08.2026 17:35,R29,Nie,,,,,,,,,,,,,,,,
04.08.2026 18:11,R30,Tak,Wynająłem mieszkanie,Drugi,Otodom;OLX;Strona pośrednika / biura nieruchomości,31–60,2801–3500 zł,Samego czynszu dla właściciela,"Tak, raz lub dwa",Prowizja pośrednika,3,3,3,4,5,,25–34,"Nie, dziękuję"
04.08.2026 19:00,R31,Tak,Wciąż szukam,Drugi,Otodom;Grupy na Facebooku,31–60,2001–2800 zł,Nie zastanawiałem się nad tym w ten sposób,"Tak, raz lub dwa","Czynsz administracyjny, którego nie zauważyłem",4,3,4,4,3,,Wolę nie podawać,"Nie, dziękuję"
04.08.2026 20:22,R32,Tak,Wynająłem mieszkanie,Trzeci lub kolejny,Otodom,10–30,3501–4500 zł,Samego czynszu dla właściciela,Nie,,2,3,3,4,2,,45 i więcej,"Nie, dziękuję"
05.08.2026 08:03,R33,Tak,Wynająłem mieszkanie,Drugi,Otodom;OLX,31–60,2801–3500 zł,Czynszu dla właściciela plus czynsz administracyjny,"Tak, wielokrotnie","Czynsz administracyjny, którego nie zauważyłem;Media wyższe, niż zakładałem",5,5,4,4,3,Kalkulator całkowitego kosztu przy ofercie. Coś jak w leasingu samochodu gdzie widzisz ratę i wszystkie opłaty razem.,25–34,"Tak, wyślij mi szczegóły"
05.08.2026 08:41,R34,Tak,Wynająłem mieszkanie,Trzeci lub kolejny,Otodom;Strona pośrednika / biura nieruchomości;OLX,31–60,Powyżej 4500 zł,Wszystkiego razem z mediami,"Tak, raz lub dwa",Prowizja pośrednika,3,3,4,4,3,Nie zmieniałbym samego serwisu tylko wymusiłbym na ogłoszeniodawcach podawanie kompletu opłat. Serwis to tylko lustro tego co wrzucają.,35–44,"Tak, wyślij mi szczegóły"
05.08.2026 09:16,R35,Tak,Wciąż szukam,Pierwszy w życiu,Grupy na Facebooku;OLX,Nie pamiętam,Do 2000 zł,Nie zastanawiałem się nad tym w ten sposób,Nie pamiętam,,3,3,3,3,3,,Do 24,"Nie, dziękuję"
05.08.2026 09:50,R36,Nie,,,,,,,,,,,,,,,,
